symbol,ltp,change,change_p,open,high,low,prev_close,52w_high,52w_low,volume,longName,industry,sector,fullExchangeName,website,city,marketCap,regularMarketTime,currentPrice,dayHigh,dayLow,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalDebt,totalRevenue,returnOnEquity,profitMargins,bookValue,priceToBook,trailingPE,forwardPE,trailingEps,dividendYield,payoutRatio,lastSplitFactor,lastSplitDate,beta
TECHM,1463.0,14.800049,1.0219617,1453.5,1469.8,1448.4,1448.2,1854.0,1304.1,1360607,Tech Mahindra Limited,Information Technology Services,Technology,NSE,https://www.techmahindra.com,Pune,1295806234624,1778234399,1463.0,1469.8,1448.4,1448.2,14.800049,1.0219617,1304.1,1854.0,1413.264,1497.2565,2454697,885718530,0.36611,0.44094002,84408999936,21862000640,568153997312,0.16608,0.084680006,310.382,4.7135468,27.027525,17.139132,54.13,3.49,0.8304,2:1,1426723200,0.178
TITAN,4509.0,201.5,4.6778874,4314.0,4605.0,4213.4,4307.5,4605.0,3303.1,4777493,Titan Company Limited,Luxury Goods,Consumer Cyclical,NSE,https://www.titancompany.in,Bengaluru,3999686983680,1778234398,4509.0,4605.0,4213.4,4307.5,201.5,4.6778874,3303.1,4605.0,4260.63,3931.335,1102959,887045260,0.58765,0.19875999,41659998208,306210013184,875840012288,0.37127998,0.057919998,144.377,31.230736,78.74607,53.203598,57.26,0.24,0.19229999,10:1,1308787200,0.291
EICHERMOT,7302.5,-25.0,-0.34118047,7299.5,7370.0,7228.0,7327.5,8230.0,5219.5,259501,Eicher Motors Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://eicher.in,Chennai,2003179536384,1778234401,7302.5,7370.0,7228.0,7327.5,-25.0,-0.34118047,5219.5,8230.0,7102.66,7011.2725,640303,274314204,0.49866,0.27290002,48704499712,4457800192,224315392000,,0.23883,805.256,9.068545,37.45256,31.727379,194.98,0.96,0.35900003,10:1,1598227200,0.3
HDFCLIFE,621.7,-3.7000122,-0.59162325,625.5,628.0,618.3,625.4,820.75,555.1,2352307,HDFC Life Insurance Company Limited,Insurance - Life,Financial Services,NSE,https://www.hdfclife.com,Mumbai,1341180870656,1778234400,621.7,628.0,618.3,625.4,-3.7000122,-0.59162325,555.1,820.75,617.125,719.4725,4760005,2157279702,0.55966,0.27146,19902300160,30990000128,998551191552,0.11281,0.01915,82.417,7.543347,69.93251,50.709625,8.89,0.34,0.237,,,0.514
ITC,307.45,0.05001831,0.016271409,308.9,308.9,305.7,307.4,444.2,287.0,17736725,ITC Limited,Tobacco,Consumer Defensive,NSE,https://www.itcportal.com,Kolkata,3852185108480,1778234400,307.45,308.9,305.7,307.4,0.05001831,0.016271409,287.0,444.2,303.406,363.798,20981129,12529468231,0.27456,0.51445,185599197184,3629700096,798087184384,,0.43890998,56.707,5.4217296,18.908365,18.37217,16.26,4.67,0.8825,3:2,1467331200,-0.024
NESTLEIND,1482.4,6.4000244,0.433606,1476.6,1496.3,1470.0,1476.0,1496.3,1084.7,1471369,Nestlé India Limited,Packaged Foods,Consumer Defensive,NSE,https://www.nestle.in,Gurugram,2858533257216,1778234399,1482.4,1496.3,1470.0,1476.0,6.4000244,0.433606,1084.7,1496.3,1284.136,1252.438,1668006,1928314320,0.62918997,0.17142001,13408700416,4441600000,231545995264,0.76338995,0.15112,26.743,55.431328,81.94582,62.576855,18.09,0.81,0.66120005,2:1,1754611200,0.489
GRASIM,2968.6,8.0,0.27021548,2960.6,2980.4,2932.1,2960.6,2980.4,2502.5,505247,Grasim Industries Limited,Building Materials,Basic Materials,NSE,https://www.grasim.com,Mumbai,2013223845888,1778234401,2968.6,2980.4,2932.1,2960.6,8.0,0.27021548,2502.5,2980.4,2712.038,2785.6174,943451,678114605,0.47864,0.25351998,254070898688,2054033899520,1685968912384,,0.026719999,1468.673,2.0212805,44.446774,26.349173,66.79,0.34,0.15,5:1,1475712000,0.288
WIPRO,197.91,0.55000305,0.2786801,198.0,198.94,196.7,197.36,273.1,186.5,15945864,Wipro Limited,Information Technology Services,Technology,NSE,https://www.wipro.com,Bengaluru,2074579566592,1778234400,197.91,198.94,196.7,197.36,0.55000305,0.2786801,186.5,273.1,198.1732,233.7355,21386091,10482438781,0.72746,0.1499,543235014656,202910007296,926240014336,0.15487,0.14248,85.612,2.3117087,15.744631,13.769597,12.57,8.59,0.8758,2:1,1733184000,0.374
NTPC,402.15,1.7999878,0.44960353,398.0,405.1,397.15,400.35,414.4,315.55,4739551,NTPC Limited,Utilities - Regulated Electric,Utilities,NSE,https://www.ntpc.co.in,New Delhi,3899514421248,1778234401,402.15,405.1,397.15,400.35,1.7999878,0.44960353,315.55,414.4,384.534,350.45724,12141025,9696666134,0.53275,0.38761002,128116301824,1234561925120,1875305562112,,0.12892,198.221,2.0287962,22.267443,15.0211735,18.06,2.82,0.4758,6:5,1552953600,0.315
POWERGRID,313.95,0.15002441,0.04780893,315.2,315.2,310.6,313.8,324.95,250.0,7929289,Power Grid Corporation of India Limited,Utilities - Regulated Electric,Utilities,NSE,https://www.powergrid.in,Gurugram,2919924760576,1778234401,313.95,315.2,310.6,313.8,0.15002441,0.04780893,250.0,324.95,304.521,284.87274,14614876,9300603819,0.52614,0.35673,96366100480,1396777156608,473426100224,,0.32792,106.531,2.9470296,20.163778,16.964943,15.57,3.9,0.5776,4:3,1694476800,0.24
APOLLOHOSP,8097.0,260.0,3.317596,7837.0,8115.0,7812.5,7837.0,8115.0,6696.5,922704,Apollo Hospitals Enterprise Limited,Medical Care Facilities,Healthcare,NSE,https://www.apollohospitals.com,Chennai,1164224364544,1778234403,8097.0,8115.0,7812.5,7837.0,260.0,3.317596,6696.5,8115.0,7592.49,7493.8477,444443,143784657,0.28019,0.48689997,31439998976,79872000000,242151997440,,0.07441,632.453,12.802532,64.51793,48.660637,125.5,0.25,0.1516,2:1,1283385600,0.157
TRENT,4242.3,-51.800293,-1.2063131,4283.2,4318.9,4221.9,4294.1,6261.0,3275.5,541687,Trent Limited,Apparel Retail,Consumer Cyclical,NSE,https://trentlimited.com,Mumbai,1508084416512,1778234401,4242.3,4318.9,4221.9,4294.1,-51.800293,-1.2063131,3275.5,6261.0,3845.012,4362.3555,1102904,355487461,0.41902,0.28677,9305299968,25612500992,200742092800,0.27126,0.08566,196.475,21.592058,87.72332,56.73681,48.36,0.14,0.1034,3:2,1780531200,0.379
MAXHEALTH,1012.5,-2.7999878,-0.27577937,1013.6,1024.6,1007.4,1015.3,1314.3,903.0,1835266,Max Healthcare Institute Limited,Medical Care Facilities,Healthcare,NSE,https://www.maxhealthcare.in,Gurugram,985409323008,1778234401,1012.5,1024.6,1007.4,1015.3,-2.7999878,-0.27577937,903.0,1314.3,993.092,1085.49,2717709,973243789,0.26508,0.52516,4970200064,32750200832,81403002880,,0.17434,102.713,9.857565,69.44444,48.57536,14.58,0.15,0.103199996,,,0.129
ASIANPAINT,2599.9,69.299805,2.7384732,2540.0,2607.4,2515.4,2530.6,2985.7,2115.0,2327756,Asian Paints Limited,Specialty Chemicals,Basic Materials,NSE,https://www.asianpaints.com,Mumbai,2492379168768,1778234404,2599.9,2607.4,2515.4,2530.6,69.299805,2.7384732,2115.0,2985.7,2329.096,2528.041,1253263,958644295,0.52924,0.26986998,56484900864,35570900992,346495287296,,0.11098,204.34,12.723402,64.93256,51.902206,40.04,0.96,0.62450004,10:1,1375142400,0.284
SBILIFE,1872.1,-0.099975586,-0.0053400057,1874.9,1885.0,1865.2,1872.2,2132.0,1720.0,673236,SBI Life Insurance Company Limited,Insurance - Life,Financial Services,NSE,https://www.sbilife.co.in,Mumbai,1877888729088,1778234401,1872.1,1885.0,1865.2,1872.2,-0.099975586,-0.0053400057,1720.0,2132.0,1882.068,1928.553,1301548,1003092121,0.58469003,0.29766,32079400960,0,1122911125504,0.13697,0.022,189.622,9.8728,75.76285,53.962795,24.71,0.14,0.1097,,,0.359
CIPLA,1347.0,-15.300049,-1.1231041,1355.0,1366.7,1341.3,1362.3,1673.0,1165.7,1044625,Cipla Limited,Drug Manufacturers - Specialty & Generic,Healthcare,NSE,https://www.cipla.com,Mumbai,1088083263488,1778234404,1347.0,1366.7,1341.3,1362.3,-15.300049,-1.1231041,1165.7,1673.0,1275.798,1437.6835,1699097,807782631,0.3096,0.40387002,106022404096,4673699840,279671898112,,0.16256,407.531,3.30527,23.9254,24.426947,56.3,0.97,0.23110001,5:2,1145836800,0.093
JSWSTEEL,1277.8,-5.5999756,-0.43633905,1283.4,1284.9,1266.8,1283.4,1306.8,962.15,811854,JSW Steel Limited,Steel,Basic Materials,NSE,https://www.jswsteel.in,Mumbai,3118641446912,1778234402,1277.8,1284.9,1266.8,1283.4,-5.5999756,-0.43633905,962.15,1306.8,1205.948,1162.369,1818253,2440633358,0.64661,0.16775998,189329997824,1011070009344,1791089967104,,0.041589998,340.317,3.7547348,42.019073,21.147167,30.41,0.22,0.092,10:1,1483488000,0.6
TATACONSUM,1176.2,24.5,2.1272902,1155.0,1194.0,1155.0,1151.7,1220.9,1007.2,3671997,Tata Consumer Products Limited,Packaged Foods,Consumer Defensive,NSE,https://www.tataconsumer.com,Mumbai,1164083593216,1778234400,1176.2,1194.0,1155.0,1151.7,24.5,2.1272902,1007.2,1220.9,1098.716,1131.46,1404574,989561780,0.34388,0.33661,42886901760,28195100672,202904305664,0.0694,0.076009996,205.423,5.725746,75.73728,57.794518,15.53,0.7,0.5295,10:1,1277856000,0.412
DRREDDY,1293.9,-13.699951,-1.0477173,1303.5,1310.2,1290.0,1307.6,1379.7,1143.9,964895,Dr. Reddy's Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,NSE,https://www.drreddys.com,Hyderabad,1077294465024,1778234401,1293.9,1310.2,1290.0,1307.6,-13.699951,-1.0477173,1143.9,1379.7,1273.292,1257.727,2185577,832594805,0.29451,0.51439,82588999680,67732000768,345831014400,0.161,0.16363001,447.25,2.893013,19.047548,23.498035,67.93,0.62,0.1179,5:1,1730073600,0.29
